beta beta_iter P sp_state
0 5 10 0.592558
0 5 20 0.9817380000000001
0 5 30 0.999432
0 10 10 0.5831559999999999
0 10 20 0.980921
0 10 30 0.999607
0 15 10 0.5865309999999999
0 15 20 0.9819289999999999
0 15 30 0.9993920000000001
0 30 10 0.590737
0 30 20 0.983851
0 30 30 0.9993099999999999
1 5 10 0.734051
1 5 20 0.991639
1 5 30 0.999756
1 10 10 0.760293
1 10 20 0.9936670000000001
1 10 30 0.999835
1 15 10 0.7520209999999999
1 15 20 0.992593
1 15 30 0.9998319999999999
1 30 10 0.76028
1 30 20 0.993067
1 30 30 0.999852
2 5 10 0.679373
2 5 20 0.989914
2 5 30 0.9994270000000001
2 10 10 0.697288
2 10 20 0.9901319999999999
2 10 30 0.999788
2 15 10 0.701428
2 15 20 0.993168
2 15 30 0.9997999999999999
2 30 10 0.67788
2 30 20 0.9919990000000001
2 30 30 0.999499
3 5 10 0.603031
3 5 20 0.9850140000000001
3 5 30 0.999572
3 10 10 0.546419
3 10 20 0.985167
3 10 30 0.999254
3 15 10 0.525892
3 15 20 0.987731
3 15 30 0.9990549999999999
3 30 10 0.488188
3 30 20 0.9862770000000001
3 30 30 0.9995729999999999
4 5 10 0.56872
4 5 20 0.984544
4 5 30 0.999429
4 10 10 0.501156
4 10 20 0.984467
4 10 30 0.999537
4 15 10 0.467442
4 15 20 0.979445
4 15 30 0.998771
4 30 10 0.43338299999999996
4 30 20 0.984078
4 30 30 0.999143
5 5 10 0.545181
5 5 20 0.9834930000000001
5 5 30 0.999125
5 10 10 0.494223
5 10 20 0.9828640000000001
5 10 30 0.99951
5 15 10 0.454216
5 15 20 0.981176
5 15 30 0.99927
5 30 10 0.397236
5 30 20 0.9774120000000001
5 30 30 0.999611
6 5 10 0.5466219999999999
6 5 20 0.9814660000000001
6 5 30 0.999472
6 10 10 0.488987
6 10 20 0.9812690000000001
6 10 30 0.999086
6 15 10 0.454814
6 15 20 0.977756
6 15 30 0.9995599999999999
6 30 10 0.401618
6 30 20 0.9777290000000001
6 30 30 0.999426
7 5 10 0.546083
7 5 20 0.9833529999999999
7 5 30 0.999451
7 10 10 0.479312
7 10 20 0.979088
7 10 30 0.999223
7 15 10 0.446411
7 15 20 0.9810249999999999
7 15 30 0.999375
7 30 10 0.41158999999999996
7 30 20 0.978538
7 30 30 0.999281
8 5 10 0.541515
8 5 20 0.9826699999999999
8 5 30 0.999255
8 10 10 0.491243
8 10 20 0.9810890000000001
