beta beta_iter P sp_state
16 5 10 0.5504840000000001
16 5 20 0.983346
16 5 30 0.9993970000000001
16 10 10 0.518674
16 10 20 0.97921
16 10 30 0.999386
16 15 10 0.489546
16 15 20 0.97789
16 15 30 0.9992190000000001
17 5 10 0.5621889999999999
17 5 20 0.9818680000000001
17 5 30 0.999301
17 10 10 0.520953
17 10 20 0.978658
17 10 30 0.999442
17 15 10 0.500117
17 15 20 0.976589
17 15 30 0.999249
18 5 10 0.557284
18 5 20 0.983139
18 5 30 0.999408
18 10 10 0.519009
18 10 20 0.978361
18 10 30 0.999386
18 15 10 0.502143
18 15 20 0.978362
18 15 30 0.9989640000000001
19 5 10 0.555942
19 5 20 0.980947
19 5 30 0.999358
19 10 10 0.5196839999999999
19 10 20 0.9786900000000001
19 10 30 0.9993479999999999
19 15 10 0.506964
19 15 20 0.978581
19 15 30 0.999182
20 5 10 0.564202
20 5 20 0.981284
20 5 30 0.999494
20 10 10 0.524028
20 10 20 0.979927
20 10 30 0.999232
20 15 10 0.504054
20 15 20 0.980164
20 15 30 0.9994500000000001
