beta beta_iter P sp_state
0 3 10 0.6015400000000001
0 3 20 0.98441
0 3 30 0.9994299999999999
0 6 10 0.58858
0 6 20 0.9822299999999999
0 6 30 0.9997199999999999
0 9 10 0.5710000000000001
0 9 20 0.98249
0 9 30 0.9987900000000001
1 3 10 0.7280800000000001
1 3 20 0.98783
1 3 30 0.99956
1 6 10 0.7482899999999999
1 6 20 0.9924200000000001
1 6 30 0.99979
1 9 10 0.77107
1 9 20 0.99355
1 9 30 0.99994
2 3 10 0.7021999999999999
2 3 20 0.9876900000000001
2 3 30 0.9995
2 6 10 0.66704
2 6 20 0.98854
2 6 30 0.9995999999999999
2 9 10 0.6682899999999999
2 9 20 0.99366
2 9 30 0.99984
3 3 10 0.65767
3 3 20 0.98872
3 3 30 0.99977
3 6 10 0.5645
3 6 20 0.98453
3 6 30 0.99966
3 9 10 0.57896
3 9 20 0.98104
3 9 30 0.99996
4 3 10 0.57788
4 3 20 0.98749
4 3 30 0.99831
4 6 10 0.55945
4 6 20 0.98434
4 6 30 0.99983
4 9 10 0.53485
4 9 20 0.9830500000000001
4 9 30 0.9997499999999999
5 3 10 0.56093
5 3 20 0.98344
5 3 30 0.99985
5 6 10 0.50956
5 6 20 0.98694
5 6 30 0.9990600000000001
5 9 10 0.50337
5 9 20 0.98507
5 9 30 0.99626
6 3 10 0.58472
6 3 20 0.98234
6 3 30 0.99973
6 6 10 0.53654
6 6 20 0.98248
6 6 30 0.99985
6 9 10 0.49189
6 9 20 0.98161
6 9 30 0.99855
7 3 10 0.61212
7 3 20 0.9859699999999999
7 3 30 0.99932
7 6 10 0.52319
7 6 20 0.9806699999999999
7 6 30 0.99983
7 9 10 0.50156
7 9 20 0.9795900000000001
7 9 30 0.9997499999999999
8 3 10 0.59422
8 3 20 0.98456
8 3 30 0.99878
8 6 10 0.52819
8 6 20 0.98516
8 6 30 0.99905
8 9 10 0.47176
8 9 20 0.9792799999999999
8 9 30 0.99971
9 3 10 0.55869
9 3 20 0.9810599999999999
9 3 30 0.9984999999999999
9 6 10 0.5289
9 6 20 0.98248
9 6 30 0.99902
9 9 10 0.5123
9 9 20 0.98251
9 9 30 0.9998699999999999
10 3 10 0.5642
10 3 20 0.9836199999999999
10 3 30 0.9998
10 6 10 0.53994
10 6 20 0.98249
10 6 30 0.99895
10 9 10 0.4706
10 9 20 0.97985
10 9 30 0.99884
